Country,Player Names,Matches_Played,Mins,Goals,Year
Spain,Juanmi Callejon,19,1849,11,2016
Spain,Antoine Griezmann,36,3129,16,2016
Spain,Luis Suarez,34,2940,28,2016
Spain,Ruben Castro,32,2842,13,2016
Spain,Kevin Gameiro,21,1745,13,2016
Spain,Cristiano Ronaldo,29,2634,25,2016
Spain,Karim Benzema,23,1967,11,2016
Spain,Neymar ,30,2694,13,2016
Spain,Iago Aspas,25,2354,19,2016
Spain,Sergi Enrich,31,2904,11,2016
Spain,Aduriz ,27,2480,16,2016
Spain,Sandro Ramlrez,28,2340,14,2016
Spain,Lionel Messi,32,2910,37,2016
Spain,Gerard Moreno,37,3361,13,2016
Spain,Morata,14,1392,15,2016
Spain,Wissam Ben Yedder,20,1735,11,2016
Spain,Willian Jose,27,2102,12,2016
Spain,Andone ,32,2984,12,2016
Spain,Cedric Bakambu,17,1633,10,2016
Spain,Isco,18,1690,10,2016
Italy,Mohamed Salah,29,2567,15,2016
Italy,Gregoire Defrel,23,2054,12,2016
Italy,Ciro Immobile,35,3294,22,2016
Italy,Nikola Kalinic,26,2648,15,2016
Italy,Dries Mertens,28,2671,28,2016
Italy,Alejandro Gomez,37,3247,16,2016
Italy,Jose CallejOn,37,3276,14,2016
Italy,Iago Falque,31,2633,12,2016
Italy,Giovanni Simeone,29,2764,12,2016
Italy,Mauro Icardi,34,3188,24,2016
Italy,Diego Falcinelli,35,3308,13,2016
Italy,Cyril Thereau,31,2585,12,2016
Italy,Edin Dzeko,33,3194,29,2016
Italy,Lorenzo Insigne,35,3031,18,2016
Italy,Fabio Quagliarella,35,3030,12,2016
Italy,Borriello ,30,2737,16,2016
Italy,Carlos Bacca,26,2228,13,2016
Italy,Gonzalo Higuain,32,3138,24,2016
Italy,Keita Balde,21,2033,16,2016
Italy,Andrea Belotti,34,3241,26,2016
Germany,Fin Bartels,23,2315,8,2016
Germany,Lars Stindl,29,2673,11,2016
Germany,Serge Gnabry,23,2028,11,2016
Germany,Wagner ,30,2695,11,2016
Germany,Andrej Kramaric,28,2449,15,2016
Germany,Florian Niederlechner,29,2477,11,2016
Germany,Robert Lewandowski,31,2871,30,2016
Germany,Emil Forsberg,27,2420,8,2016
Germany,Timo Werner,28,2496,21,2016
Germany,Nils Petersen,7,1351,10,2016
Germany,Vedad Ibisevic,32,2772,12,2016
Germany,Mario Gomez,32,2950,16,2016
Germany,Maximilian Philipp,23,2000,9,2016
Germany,Adam Szalai,7,833,8,2016
Germany,Pierre-Emerick Aubameyang,31,2894,31,2016
Germany,Guido Burgstaller,17,1494,9,2016
Germany,Max Kruse,23,2121,15,2016
Germany,Chicharito ,20,1895,11,2016
Germany,Anthony Modeste,34,3075,25,2016
Germany,Arjen Robben,21,1882,13,2016
England,Alexis Sanchez,36,3385,24,2016
England,Romelu Lukaku,36,3448,25,2016
England,Harry Kane,29,2636,29,2016
England,Jamie Vardy,33,2938,13,2016
England,Christian Benteke,36,3299,15,2016
England,Pedro None,26,2250,10,2016
England,Eden Hazard,36,3101,16,2016
England,Roberto Firmino,34,3228,11,2016
England,Sadio Mane,26,2347,13,2016
England,Philippe Coutinho,28,2327,13,2016
England,Diego Costa,35,3232,20,2016
England,Dele Alli,35,3182,18,2016
England,Sergio Aguero,25,2444,21,2016
England,Jermain Defoe,37,3511,15,2016
England,Fernando Llorente,28,2562,15,2016
England,Michail Antonio,29,2493,11,2016
England,Zlatan Ibrahimovic,27,2578,17,2016
England,Olivier Giroud,11,1311,12,2016
England,Son Heung-Min,23,2174,14,2016
England,Joshua King,31,2856,16,2016
Brazil,Diego Souza,34,2981,14,2016
Brazil,Pablo ,30,2757,9,2016
Brazil,Robinho ,26,2234,12,2016
Brazil,Kempes ,19,1684,9,2016
Brazil,Gabriel Jesus,26,2448,12,2016
Brazil,Bruno Rangel ,19,2016,10,2016
Brazil,Rogerio ,22,2051,9,2016
Brazil,Vitor Bueno,32,2670,10,2016
Brazil,Marinho ,27,2360,12,2016
Brazil,Grafite ,29,2511,13,2016
Brazil,Andres Chavez,19,1786,9,2016
Brazil,Cicero Semedo,35,3322,9,2016
Brazil,Sassa,13,1412,12,2016
Brazil,Giorgian de Arrascaeta,30,2423,9,2016
Brazil,Keno ,32,3093,10,2016
Brazil,Fred ,33,2821,14,2016
Brazil,Kleber Gladiador,23,2143,9,2016
Brazil,Pottker ,19,2007,14,2016
Brazil,Jonathan Copete,22,2147,10,2016
Brazil,Ricardo Oliveira,20,1834,11,2016
Spain,Angel Rodriguez,26,2390,13,2017
Spain,Antoine Griezmann,30,2596,19,2017
Spain,Iago Aspas,33,3053,22,2017
Spain,Gareth Bale,20,1872,16,2017
Spain,Rodrigo None,31,2770,16,2017
Spain,Luis Suarez,32,3008,25,2017
Spain,Sergio Leon,23,2071,11,2017
Spain,Lionel Messi,32,3123,33,2017
Spain,Maxi Gomez,35,3168,18,2017
Spain,Mikel Oyarzabal,31,2864,12,2017
Spain,Willian Josa,32,2869,15,2017
Spain,Simone Zaza,23,2163,13,2017
Spain,Cristiano Ronaldo,27,2375,26,2017
